Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type
2934,37,10,90,13,2219,220,219,133,2047,1
2679,32,23,90,29,1061,208,182,99,2015,2
2579,48,22,300,52,607,222,186,87,638,2
3277,158,5,297,37,5202,226,241,149,720,2
2494,90,6,324,0,983,230,230,134,4129,2
3137,172,17,351,66,201,229,246,143,721,2
3051,343,18,182,8,270,180,210,166,450,1
2855,48,22,60,40,1950,222,188,90,1124,1
2869,65,16,212,0,1661,234,206,99,2297,2
2702,194,4,162,26,1293,219,243,160,3576,2
3285,74,14,488,98,677,236,213,106,1080,7
3408,30,17,769,179,750,213,202,120,285,7
2723,53,14,0,0,1107,227,210,113,664,1
3027,357,20,150,43,1517,184,200,150,2167,1
2624,74,4,30,0,1347,225,231,142,190,2
2942,259,15,190,39,5143,182,247,203,1529,2
3172,43,10,268,-2,4981,222,219,131,2242,1
3030,69,12,604,210,234,233,216,113,792,2
3197,331,17,513,78,474,178,217,178,1598,1
2884,49,23,390,225,402,223,184,85,1560,2
3101,213,17,192,59,576,203,254,182,731,2
3287,180,29,421,160,2813,217,243,139,830,1
3408,189,5,108,2,3042,220,243,159,940,7
2919,108,2,190,10,3986,223,236,149,6346,2
2886,121,4,0,0,3219,227,236,144,1866,2
2936,36,15,60,7,5523,218,205,119,3844,1
2924,108,5,390,2,4039,229,234,138,4332,2
3300,119,10,376,120,3408,237,232,125,553,1
3066,351,8,127,-8,1842,206,227,159,1198,1
2845,35,10,277,47,2040,219,218,134,1830,2
2913,90,2,124,7,4754,222,236,150,1744,2
2833,68,25,124,49,2406,236,182,62,1812,2
2866,272,34,361,181,2022,115,228,241,1290,2
2514,48,7,313,-21,511,223,225,137,604,2
3281,184,13,510,103,3358,222,248,157,661,1
3080,353,18,618,36,3719,187,207,156,2731,2
3018,39,19,339,96,4860,217,195,106,3216,1
2872,105,24,488,119,1621,252,202,64,864,5
3399,165,14,319,87,4347,232,244,140,3087,1
2713,266,7,190,4,1899,203,243,179,4179,2
3096,314,31,569,55,1338,125,200,207,955,2
2880,239,20,85,22,2727,178,252,207,2329,2
3106,81,3,85,2,4257,223,234,146,1454,1
3133,333,10,674,112,2505,197,228,169,1380,1
3011,328,7,30,2,2807,203,232,168,698,1
3164,131,18,685,228,1182,246,227,102,2220,2
3266,82,12,258,96,3528,237,219,111,607,1
3416,185,11,430,21,2743,222,248,158,1794,1
3065,308,6,594,113,834,204,236,171,870,2
2689,204,8,67,9,1332,216,248,167,3528,2
2917,67,20,190,-49,417,236,196,84,295,1
3244,93,9,170,34,3072,235,226,121,2389,1
2799,212,34,342,-26,2278,171,248,191,1723,2
2890,103,8,60,7,5408,234,230,127,4163,2
2581,100,13,124,3,908,241,222,110,735,2
2688,141,20,150,49,1924,245,230,105,1451,2
2349,227,15,268,55,1148,196,253,191,781,4
3119,16,11,335,29,3690,211,217,142,4341,1
2450,48,25,295,99,708,220,178,79,1275,3
3137,122,8,469,62,1860,233,234,133,2592,1
3118,125,19,300,60,4147,248,223,94,664,2
2949,149,7,90,7,4269,229,240,143,5226,2
3040,219,15,0,0,2597,202,253,185,1190,2
3062,118,5,469,-8,1530,228,236,142,1341,1
2880,69,14,120,3,525,234,211,106,1712,2
3355,173,13,570,149,1746,228,246,148,1507,1
2117,298,20,256,112,313,161,229,207,680,3
3308,64,11,342,85,3303,230,217,118,2893,2
2930,329,1,134,10,1165,215,237,159,319,1
2899,61,17,362,22,484,232,202,96,1622,2
2632,67,6,277,54,1243,227,228,135,816,2
2885,25,16,212,8,1530,210,203,125,981,2
2988,162,7,90,6,4886,227,242,148,5000,2
2916,270,30,306,125,1452,131,234,235,2522,2
3201,23,12,552,8,2155,213,214,136,1092,1
3080,94,16,67,0,3787,243,215,97,4050,1
3276,244,24,0,0,2547,164,250,217,510,7
2626,156,17,30,5,3273,237,240,126,2496,1
2884,3,9,127,35,800,207,222,152,495,2
3211,27,8,547,200,2560,217,223,142,2761,1
2869,154,21,60,6,1524,240,236,115,2547,2
2716,267,4,150,9,2030,209,241,170,4438,2
2613,87,5,108,19,509,227,231,138,1321,2
2972,62,13,541,-6,3427,230,213,113,5709,1
2647,353,28,108,30,912,162,180,148,1746,2
3032,99,6,108,8,4204,230,232,136,2568,2
3105,11,14,30,5,968,204,211,142,2010,2
2751,113,6,240,21,2232,231,234,136,2408,2
2732,84,22,134,31,2193,245,197,70,541,2
3064,42,19,450,142,4715,219,194,103,3359,1
2831,351,10,0,0,4585,203,224,159,4756,2
2602,304,9,42,4,360,196,236,180,1209,2
2645,232,20,175,17,3132,184,254,201,1471,3
2821,22,9,404,32,1717,215,221,143,1260,2
2824,279,9,360,89,1664,195,242,186,2588,2
3156,329,18,295,62,3434,174,216,180,3219,1
2840,209,21,182,50,4237,200,254,182,5172,2
2874,77,31,153,75,162,241,168,34,277,1
3175,103,11,30,0,3441,239,225,115,433,1
3224,2,7,268,46,1032,210,226,154,604,1
3042,256,2,240,2,3219,214,240,163,1063,2
2913,63,4,309,53,3288,224,231,143,2731,1
2903,353,13,330,19,1740,197,217,157,2911,1
3196,299,9,481,84,1256,196,237,181,2098,2
2756,332,29,150,15,1789,141,190,180,2844,2
3250,70,18,85,8,636,236,202,90,1115,2
3185,7,15,497,58,2188,201,209,144,3400,1
3076,43,21,900,-110,1643,219,188,95,2219,1
3453,68,5,443,0,1523,225,230,139,3734,1
3151,357,12,319,57,3952,200,217,154,1024,1
3004,144,8,242,27,4725,232,239,138,3502,2
3151,151,14,228,26,2321,237,239,129,390,1
2443,222,11,218,-13,1041,206,251,180,1315,3
2749,305,10,85,0,2301,193,235,182,4021,2
2822,48,11,240,38,2971,224,216,124,2554,2
3205,45,8,601,63,2779,223,223,135,4926,1
3002,27,13,782,183,1266,214,212,131,2552,2
3119,293,13,30,10,4810,182,237,194,1200,1
2933,346,15,67,10,1075,189,214,163,2242,1
3073,45,7,255,39,6677,222,225,138,3079,2
2974,327,16,309,64,1892,181,221,179,1652,2
3300,286,22,201,42,2234,152,233,218,3001,1
